"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2026-02-05 07:45:00,379.284554444,2.062907778,36.438647778,26.720754444,37.959803333,42.045235556,19.714211111,36.822565556,37.335048889,14.650755556,22.055873333,37.684640000,34.381821111,33.475197778,2.062907778
2026-02-05 07:30:00,368.739014444,0.975885556,35.121304444,25.555024444,35.674396667,41.452121111,18.605126667,34.732870000,36.846663333,15.344475556,23.561914444,36.656902222,32.841660000,32.346555556,0.975885556
2026-02-05 07:15:00,379.308763333,-0.255242222,37.279555556,27.032406667,36.994848889,40.588755556,17.925541111,34.403995556,36.564818889,15.275646667,22.923872222,39.338518889,36.384538889,34.596264444,-0.255242222
2026-02-05 07:00:00,386.337901111,-0.370338889,36.837186667,28.799687778,37.289648889,42.023361111,20.050584444,37.140164444,37.374216667,15.996490000,23.688254444,38.610783333,34.751097778,33.776425556,-0.370338889
2026-02-05 06:45:00,375.372927778,-0.394496667,33.828304444,26.063217778,35.421845556,40.717156667,18.149542222,35.312193333,38.242326667,16.772713333,23.636164444,38.448381111,34.554173333,34.226908889,-0.394496667
2026-02-05 06:30:00,371.867978889,-0.400187778,32.866465556,24.698857778,34.426983333,40.351610000,17.495181111,34.796361111,37.824593333,16.199342222,22.991451111,39.656615556,35.520397778,35.040120000,-0.400187778
2026-02-05 06:15:00,372.988117778,-0.381412222,33.412247778,24.565218889,34.008283333,41.776800000,17.661427778,34.758640000,37.525847778,15.676056667,23.791284444,39.375084444,35.539721111,34.897505556,-0.381412222
2026-02-05 06:00:00,360.551342222,-0.379462222,33.507468889,24.571524444,34.405551111,42.082701111,17.871927778,35.188924444,37.057928889,15.394038889,23.554163333,35.782736667,30.344866667,30.789510000,-0.379462222
2026-02-05 05:45:00,343.254004444,-0.380247778,34.702847778,25.638218889,36.487046667,38.549064444,15.436682222,31.489716667,35.380913333,13.055845556,20.778917778,33.979161111,27.937114444,29.818475556,-0.380247778
2026-02-05 05:30:00,351.388763333,-0.379660000,33.887673333,26.026958889,36.870933333,38.843982222,15.799253333,32.095865556,36.125941111,13.622958889,21.092695556,35.484567778,30.811323333,30.726610000,-0.379660000
2026-02-05 05:15:00,356.904051111,-0.378672222,33.498727778,24.885160000,36.374636667,39.018962222,15.661201111,32.078168889,35.936750000,13.679851111,20.741623333,37.568114444,33.872031111,33.588824444,-0.378672222
